%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1631907702224844848,32299,1631907702229568881,gps,0,0,39.81268070224152,-86.34155784541221,261.4648213442415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907702274855164,32300,1631907702280141291,gps,0,0,39.81267681875896,-86.34155785917862,261.46598170883954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907702324846242,32301,1631907702330192332,gps,0,0,39.81267292890018,-86.34155785068772,261.466197472997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907702374883446,32302,1631907702379790056,gps,0,0,39.81266905968892,-86.34155787609573,261.4689090847969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907702424804602,32303,1631907702429644788,gps,0,0,39.81266518642328,-86.3415578638808,261.4691247185692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907702474851881,32304,1631907702481971956,gps,0,0,39.81266133237045,-86.3415578991995,261.4715094557032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907702524796541,32305,1631907702542135574,gps,0,0,39.81265749370808,-86.34155791790883,261.47728559281677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907702574802555,32306,1631907702579932370,gps,0,0,39.812653550582695,-86.34155783128263,261.4871000908315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907702624806587,32307,1631907702629630372,gps,0,0,39.81264971288001,-86.34155782472372,261.49026724603027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907702674807849,32308,1631907702680047053,gps,0,0,39.81264581021702,-86.341557743379,261.48025904223323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907702724865815,32309,1631907702730820535,gps,0,0,39.81264192513636,-86.34155769088913,261.4680242370814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907702774771876,32310,1631907702780488646,gps,0,0,39.812638029101564,-86.34155758189114,261.4697495410219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907702824897915,32311,1631907702829035189,gps,0,0,39.81263415761691,-86.34155746141383,261.4845517044887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907702874804397,32312,1631907702880052759,gps,0,0,39.81263027527994,-86.34155737083962,261.50005726423115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907702924791359,32313,1631907702930541160,gps,0,0,39.81262637747864,-86.34155734678907,261.49396223481745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907702974775209,32314,1631907702978671356,gps,0,0,39.81262248912261,-86.34155727221709,261.49166184850037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907703049816998,32315,1631907703066064845,gps,0,0,39.8126185970853,-86.34155715577029,261.4962694980204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907703074802285,32316,1631907703080005954,gps,0,0,39.812614716331936,-86.3415570313969,261.5027540093288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
